Date,xBTCx,diff1,BTC_diff,Vol_diff,ETH_diff,Eth_vol_diff,TETH_vol_diff,TETH_Mcap_diff,NAS_diff,NAS_vol_diff,RSI_EMA,RSI_EMA_ETH,RSI_EMA_NAS,EMA3x,EMA7x,EMA15x,EMA30x,EMA3x_ETH,EMA7x_ETH,EMA15x_ETH,EMA30x_ETH,EMA3x_NAS,EMA7x_NAS,EMA15x_NAS,EMA30x_NAS,WalletHitsChg,macd_Signal,macd_Signal_ETH,macd_Signal_NAS
2019-09-26,132.87798900000053,-133.57345499999974,-368.025404,-2486523064,-4.165570599999995,-1918345864,-4196211605,-9523911,-46.71972699999969,-182470000,7.709478329347504,26.412797816301513,37.744635475522095,-378.8133131391787,-318.6177320107745,-207.8136670638305,-123.35660131991972,-6.343853279465151,-6.094281090315974,-3.3590848543744016,-1.7029356389856787,-18.085277454387324,-15.536854578531347,-9.143831975460671,-3.099221721707181,-14.6341463414634,HOLD,HOLD,HOLD
2019-09-27,-5.930401999999958,-368.025404,132.87798900000053,-2849264133,7.983868400000006,61027471,-3054618609,24291689,-91.0302730000003,204920000,14.499145075734665,36.62816836693207,27.99622331896425,-122.96766206959,-205.74380175808074,-165.22721005585117,-106.8253374283122,0.8200075602674417,-2.5747437177369648,-1.9412156975775758,-1.0779805396962558,-54.557775227193815,-34.41020918389768,-19.379637103527784,-8.772192771920345,-8.57142857142857,HOLD,HOLD,HOLD
2019-09-28,-141.72947900000054,132.87798900000053,-5.930401999999958,-2267788420,-0.13810119999999415,-1013890180,-2833760623,-23482637,0,0,14.444421997467282,36.5269644306309,27.99622331896425,-64.44903203479407,-155.79045181856054,-145.31510904887182,-100.31598675551868,0.34095318013370957,-1.965583088302708,-1.7158263853803817,-1.0173431629416996,-27.278887613597362,-25.807656887924168,-16.95718246558681,-8.206244851150586,25,HOLD,HOLD,HOLD
2019-09-29,189.68206499999997,-5.930401999999958,-141.72947900000054,-1106523627,-4.069406300000026,-398335246,-1108528941,4307772,0,0,13.082810702825672,33.390194545823704,27.996223318964255,-103.08925551739776,-152.27520861392077,-144.86690529276348,-102.98782496484091,-1.8642265599331438,-2.4915388912270373,-2.010023874707855,-1.214250462106719,-13.639443806798226,-19.35574266594267,-14.83753465738846,-7.6768096994637745,-41.25,HOLD,HOLD,HOLD
2019-09-30,49.40893999999935,-141.72947900000054,189.68206499999997,4080845074,9.3687161,1055826949,5296451432,-6441689,59.709961000000476,-231900000,24.127452351419077,45.762848884046974,42.86527989379866,43.29640474130065,-66.7858902104399,-103.0482840061668,-84.10589658001118,3.7522447700334283,0.4735248565797008,-0.5876813778693588,-0.5314784258417546,23.035258596601125,0.4106832505440252,-5.519097700214843,-3.3292761059492477,34.0425531914894,HOLD,HOLD,HOLD
2019-10-01,49.764963999999964,189.68206499999997,49.40893999999935,-1810130770,-2.531781799999976,123361077,-2070458052,9395285,-90.65966800000024,437830000,26.918582529631443,43.257434452481455,31.477412400329406,46.35267237065091,-37.73718265782918,-83.9911310053958,-75.49203615549413,0.6102314850166977,-0.2778018075651971,-0.8306939306357037,-0.6605302564326223,-33.81220470169956,-22.356904562093405,-16.161668987687335,-8.96349493782418,31.6017316017316,HOLD,HOLD,HOLD
2019-10-02,-133.04966599999898,49.40893999999935,49.764963999999964,-2179630970,3.370086599999979,-1340680975,-3218303315,-8835014,-123.43017599999985,251510000,29.914895768295146,47.658663997698596,22.20876620889646,48.05881818532362,-15.861645993372804,-67.27161912972042,-67.4109393712697,1.9901590425083668,0.6341702943261112,-0.3055963643062398,-0.40049045924342863,-78.62119035084925,-47.62522242156956,-29.570232364227195,-16.348442103125308,-35.5263157894737,HOLD,HOLD,HOLD
2019-10-03,-54.05273800000032,49.764963999999964,-133.04966599999898,543110966,-5.511164799999989,45808475,357427810,2887148,87.00976600000013,-353670000,26.556107208258677,41.57399381417612,37.24000404000767,-42.49542390733768,-45.15865099503026,-75.49387498850592,-71.64569592796033,-1.7605028787458252,-0.9021634792554494,-0.9562924187679585,-0.7302113844535256,4.19428782457544,-13.966475316176911,-14.997732568697757,-9.680170612601614,63.265306122449,HOLD,HOLD,HOLD
2019-10-04,-54.43871200000012,-133.04966599999898,-54.05273800000032,-529367180,1.7856653999999992,-132475276,-440984418,15995662,110.21044900000015,-404600000,25.228300139758964,44.235676088376906,51.06056611529435,-48.27408095366809,-47.38217274627277,-72.81373286494272,-70.51066638422344,0.012581260627086976,-0.2302062594415588,-0.6135476914219851,-0.567896753198454,57.20236841228689,17.077755762867127,0.6532901273885727,-1.945291927917424,-1.25,HOLD,HOLD,HOLD
2019-10-05,-163.3445700000002,-54.05273800000032,-54.43871200000012,-938959032,-0.633484100000004,-411716678,-1293674559,-28385306,0,0,23.842922720585847,43.425868088253544,51.06056611529435,-51.35639647683456,-49.14630755970393,-70.51685525682478,-69.47376610136962,-0.3104514196864727,-0.331025719581163,-0.6160397424941948,-0.5721281949275863,28.601184206143444,12.808316822151028,0.57162886146488745,-1.8197892228899946,-22.7848101265823,HOLD,HOLD,HOLD
