Date,High,Low,Open,Close,BTC_diff,Mcap_diff,Vol_diff,xBTCx,diff1,ETH,ETH_diff,Eth_Mcap_diff,Eth_vol_diff,TETH_vol_diff,TETH_Mcap_diff,SP,SP_diff,SP_vol_diff,DJI,DJI_diff,DJI_vol_diff,NAS,NAS_diff,NAS_vol_diff,Gold,Gold_diff,Gold_vol_diff,TRE,TRE_diff
2016-04-03,421.5799866,419.696991,421.1730042,420.9039917,0.03100590000002512,1971198,-7627500,0.540008499999999,2.91299429999998,11.61830044,0.019400600000000878,1895795,-3102070,-4391.296870000006,0,2072.78,0,0,17792.75,0,0,4914.540039,0,0,1222.2,0,0,1.79,0
2016-04-04,422.3429871,419.6010132,421.2990112,421.4440002,0.540008499999999,10070277,12580600,2.585998599999982,0.03100590000002512,11.1573,-0.4610004400000012,-35940183.80000007,4018520,387266.29687,0,2066.13,-6.650000000000091,-264280000,17737,-55.75,-196600,4891.799805,-22.740234000000783,-106520000,1218,-4.2000000000000455,436,1.78,-0.010000000000000009
2016-04-05,424.2569885,420.6140137,421.0169983,424.0299988,2.585998599999982,41453164,10083700,-0.6170043999999848,0.540008499999999,10.43809986,-0.7192001399999999,-56318841.599999905,10958230,-371035,0,2045.17,-20.960000000000036,669210000,17603.32,-133.6800000000003,300000,4843.930176,-47.869628999999804,20280000,1228.4,10.400000000000091,-1561,1.73,-0.050000000000000044
2016-04-06,424.5270081,422.7290039,424.2839966,423.4129944,-0.6170043999999848,-7860041,-1627000,-0.6679993000000195,2.585998599999982,10.68540001,0.24730015000000094,19820616,-3560200,-33450.101559999996,29.031999999890104,2066.66,21.48999999999978,-404120000,17716.05,112.72999999999956,-158200,4920.720215,76.79003900000043,35760000,1222.5,-5.900000000000091,-229,1.76,0.030000000000000027
2016-04-07,423.6570129,420.5180054,423.6199951,422.7449951,-0.6679993000000195,-8798494,-1232400,-2.3959960999999907,-0.6170043999999848,10.06970024,-0.6156997700000009,-48221235.20000005,-3532600,-37863.00000000001,0,2041.91,-24.749999999999773,50450000,17541.96,-174.09000000000015,-92900,4848.370117,-72.35009799999989,147170000,1236.2,13.700000000000045,127,1.69,-0.07000000000000006
2016-04-08,425.3609924,419.6350098,422.9070129,420.348999,-2.3959960999999907,-35398861,5596100,-0.9379882999999722,-0.6679993000000195,9.719590187,-0.35011005299999987,-27299660.899999976,1196100,397441.10156,-29.031999999890104,2047.6,5.689999999999827,-441720000,17576.96,35,-101300,4850.689941,2.319823999999244,-320110000,1242.5,6.2999999999999545,34,1.72,0.030000000000000027
2016-04-09,420.8909912,416.5150146,420.8110046,419.4110107,-0.9379882999999722,-12755332,-13662000,2.1529846999999904,-2.3959960999999907,9.150620461,-0.5689697259999988,-44604317,1534200,-323750,0,2047.6,0,0,17576.96,0,0,4850.689941,0,0,1242.5,0,0,1.72,0
2016-04-10,422.4349976,419.2569885,419.5920105,421.5639954,2.1529846999999904,34997722,23685900,0.9190062999999782,-0.9379882999999722,8.936340332,-0.21428012900000049,-16627846.200000048,26418600,55593,0,2047.6,0,0,17576.96,0,0,4850.689941,0,0,1242.5,0,0,1.72,0
2016-04-11,422.7390137,420.5329895,421.8720093,422.4830017,0.9190062999999782,15784841,-22731100,2.7070007000000373,2.1529846999999904,8.643790245,-0.2925500870000004,-22829894.799999952,-27475300,-134971.60156,-201.7709999999497,2041.99,-5.6099999999999,208310000,17556.41,-20.549999999999272,271100,4833.399902,-17.290038999999524,-43290000,1256.7,14.200000000000045,28,1.72,0
2016-04-12,427.2770081,422.8429871,422.8429871,425.1900024,2.7070007000000373,43329833,19981300,-1.4559935999999993,0.9190062999999782,7.442309856,-1.2014803890000003,-94666601.20000005,8052000,392004.60156,201.7709999999497,2061.72,19.72999999999979,671900000,17721.25,164.84000000000015,-260800,4872.089844,38.689941999999974,213740000,1259.4,2.7000000000000455,-252,1.78,0.06000000000000005
